rt (min)	m/z (ES-)	comments
5.64	372.14917	C17H26NSO6-; has S; has corresponding peak in ES+; not in growth medium
5.75	695.29083	"thas corresponding peak in ES+; also diff. in growth medium (two peaks, 5.3 and 5.7 min, tade#3.1 and 3.2)"
5.78	424.21146	"C18H35NPO8-, presence of phosphate is supported by MS/MS; GPE of C13 fatty acid (?); has corresponding peak in ES+; not in growth medium;"
5.79	255.02007	C9H13Cl2O4-; has 2 Cl; homolog of 241.00450; not in ES+; not in growth medium
5.80	426.22705	"C18H37NPO8-; a little later than 424.21146 peak; presence of phosphate is supported by MS/MS; has corresponding peak in ES+; several small peaks in growth medium, not obviously diff."
5.78	700.32025	5.78 and 5.92 min; glucosides of osas#10; has corresponding peak in ES+; not in growth medium
5.92	700.32025	5.78 and 5.92 min; glucosides of osas#10; has corresponding peak in ES+; not in growth medium
5.87	504.23795	"C23H39NPO9-, presence of phosphate is supported by MS/MS; in addition to common GPE fragments, also strong fragments 140.01126 and 214.04874; has corresponding peak in ES+; there's a peak at 6.1 min in growth medium, which is not diff.; MS/MS on ES+ peak gives only 334.23740 (C20H32NO3+)"
5.89	514.18561	"HCl adduct, osas related, C24H33ClNO9-; not in growth medium"
5.89	550.16319	"C24H34Cl2NO9-; has 2 Cl, HCl adduct of 514.18561; osas related; has corresponding peak in ES+ (498, 538); not in growth medium"
5.93	239.02522	"C9H13Cl2O3-; has 2 Cl, check if 167.07137 is diff (-2HCl); not in growth medium"
5.93	418.14117	"HCl adduct, C15H30ClNO8P-, has phosphate based on MS/MS, also has 140 and 214 fragments, maybe HCl adduct of oxea#10; not in growth medium"
6.06	343.13391	"C15H23N2SO5-; 5.94 and 6.04 min, has S, no MS/MS in ES-; has corresponding peaks in ES+; very small peak in growth medium, but appears to be diff."
6.11	442.14105	"C17H30ClNPO8-; 6.10 and 6.18 min, HCl adduct, has phosphate based on MS/MS, also has 140 and 214 fragments; has small corresponding peaks in ES+ (444.15555); MS/MS of 444.15555 in ES+ gives only 272.14105 (C14H23O2NCl+); not in growth medium"
6.18	301.20261	"C16H29O5-; has a peak corresponding to Na adduct in ES+ (325.19846), but at 6.4 min, not clear if it's the same thing; 201.11340 is a separate peak in ES- @ 6.01 min; gives 139, 183, 201 in MS/MS, not diff.; not in growth medium"
6.20	452.10220	"C15H29Cl2NPO8-; has 1 or 2 Cl, MS/MS overlaps with 452.24268; phosphate, 153, 171, -HCl, -2HCl in MS/MS ==> GPE of C10 fatty acid with 2 double bonds and OH group, but this RT is too late for this molecule: saturated ea#10 [Sci.Rep.2015] elutes at 6.4 min; there's a corresponding peak in ES+ (454.1167), but it's not diff, so maybe it's unrelated; not in growth medium"
6.21	452.24268	"C20H39NPO8-, MS/MS overlaps with 452.10220; has corresponsing peak in ES+, 454.25718; not in growth medium"
6.22	440.24258	"C19H39NPO8-, presence of phosphate is supported by MS/MS; has corresponding peak in ES+, 442.25708, MS/MS in ES+ gives 98.06040 (C5H8NO+), 252.23201 (C16H30NO+), 270.24255 (C16H32NO2+); not in growth medium"
6.23	446.17233	"C17H34ClNPO8-; 6.14 and 6.30 min, HCl adduct, presence of phosphate is supported by MS/MS; not in growth medium"
6.28	434.09137	"C15H27Cl2NPO7-; has 2 Cl, presence of phosphate is supported by MS/MS; phosphate, 153, 171, -HCl, -2HCl in MS/MS ==> GPE of C10 fatty acid with 2 double bonds, but RT is too late; has very small corresponding peak in ES+; not in growth medium"
6.35	544.25366	"C22H43NPO12-; presence of phosphate is supported by MS/MS; glucoside, see glucose fragments in MS/MS ==> GPE glucoside; has corresponding peak in ES+, 546.26816, 3x diff.; MS/MS in ES+ gives 212.20088 (C13H26NO+); present in growth medium but not diff."
6.41	368.18481	"C15H31NPO7-, presence of phosphate is supported by MS/MS; ea#10 [Sci.Rep.2015]; has corresponding peak in ES+, 370.19931, MS/MS in ES+ gives 198.18527 (C12H24NO+); also diff. in growth medium"
6.42	281.14310	C12H25SO5-; may have S; not in ES+; present in growth medium but not diff.
6.42	438.14355	"NaCl adduct of 380.18481, no MS/MS; not in growth medium"
6.43	380.18481	"C16H31NPO7-, presence of phosphate is supported by MS/MS; has corresponding peak (doublet) in ES+, 382.19931, it's only 2-3x diff.; MS/MS in ES+ gives 210.18518 (C13H24NO+); not in growth medium"
6.45	225.11349	C12H17O4-; also diff. in growth medium
6.46	470.21649	"C19H37NPO10-; maybe glucose-phosphate-ethanolamide-C11 fatty acid; small peaks present in growth medium, but not diff.; not in ES+"
6.49	375.23923	"C19H35O7-; bhas#22; also diff. in growth medium; p.48, 91"
6.59	279.12747	"C12H23SO5-; has S; present in growth medium, but not diff."
6.70	227.12935	C12H19O4-; also diff. in growth medium
6.72	382.20074	"C16H33NPO7-, presence of phosphate is supported by MS/MS; has corresponding peak in ES+, 384.21524, only 3x diff.; MS/MS in ES+ gives 212.20082 (C13H26NO+); not diff. in growth medium; but there's another peak with the same mass at 5.9 min which is present in FCS1 growth medium but not N2 growth medium"
6.75	436.10703	"C15H29Cl2NPO7-; has 2 Cl  -->  C15H27NO7P-; phosphate, 153, 171, -HCl, -2HCl, -74 after loss of 2 HCl in MS/MS ==> GPE of C10 fatty acid with 2 double bonds; however it elutes later than ea#10 with fully saturated chain (6.71 vs 6.37 min); maybe a fragment? but has corresponding peak in ES+, 438.12153; MS/MS in ES+ gives 194.15393 (C12H20NO+) and 266.10703 (C12H22ONCl2+); not in growth medium"
6.76	462.22723	"C21H37NPO8-; has P based on MS/MS; has corresponding peak in ES+, 464.24173; MS/MS in ES+ gives 274.21619 (C18H28NO+) and 292.22681 (C18H30NO2+); peak with this mass at 6.1 min is present and diff. in growth medium"
6.94	472.18796	"C19H36ClNPO8-; 6.50, 6.80, and 6.93 min, HCl adduct, presence of phosphate is supported by MS/MS; has corresponding peaks in ES+, 474.20246; not in growth medium"
7.14	582.26947	"C25H45NPO12-; GPE glucoside; has corresponding peak in ES+, 584.28397, only 3x diff.; MS/MS in ES+ gives 250.21646 (C16H28NO+); also diff. in growth medium (double peak)"
7.28	606.26965	"C27H45NPO12-; GPE glucoside; has corresponding peak in ES+, 608.28415; MS/MS in ES+ gives 274.21637 (C18H28NO+); also diff. in growth medium"
7.42	532.23260	C24H39NPO10-; glucose-phosphate-ethanolamine-C16 fatty acid with 4 double bonds; not in ES+; small diff. peak at 7.2 min in growth medium
7.44	474.20380	"C19H38ClNPO8-; 7.29 and 7.44 min (there're 2 more peaks with the same mass - check if they're also differential in FCS1), HCl adduct, presence of phosphate is supported by MS/MS; there're small corresponding peaks in ES+; not in growth medium"
7.52	608.28552	"C27H47NPO12-; FCS1 has m/z 608.28613, slightly shifted; 2 peaks - 7.49 and 7.76 min, GPE glucoside; small peaks in ES+, 2nd peak is not very diff.; 2nd peak is also diff. in growth medium"
7.53	596.28528	"C26H47NPO12-; GPE glucoside; has corresponding peak in ES+, 598.29978; MS/MS in ES+ gives 264.23196 (C17H30NO+); also diff. in growth medium"
7.67	280.16898	"C13H27ClNO3-; HCl adduct, ethanolamide of saturated C11 fatty acid with one OH group; has corresponding peak in ES+ (246.2068, this mass has another diff. peak at 5.5 min in ES+), but it's only 3x idff.; MS/MS in ES+ gives 62 for 7.5 min peak --> ethanolamide; 5.3 min peak is a doublet, 1st (smaller) peak has 62, 2nd has hydrocarbon ions and H2O loss; not in growth medium, but there's a peak with this mass at 6.2 min diff in growth medium (also has Cl)"
7.86	632.28528	C29H47NPO12-; there's another peak with the same mass at 7.68 min that's present only in FCS1 but not in N2; GPE glucoside of C18 fatty acid with 5 double bonds; has corresponding peak in ES+; also diff. in growth medium
8.04	610.30066	"C27H49NPO12-; FCS1 has smaller peak of the same mass, which is shifted to 7.99 min; GPE glucoside, has a fragment in ES+ (450); somewhat diff. in growth medium"
8.10	598.30084	"C26H49NPO12-; GPE glucoside, has corresponding peak in ES+; diff. in growth medium"
8.43	458.22442	"variable; C23H37NO7P-, presence of phosphate is supported by MS/MS; has substantial 140 and 214 fragments; not in ES+; also diff. in growth medium"
		
		
		
		
		
		
		
		
